1440,1446,1499,1499,1696,1696,1696,1832,2205,2205,2205,2283,2283,2283,2524,2524,2524,2923,2923,3500,4176,4176,4236,4320
67,72,53,53,81,81,81,100,84,84,84,81,81,81,71,71,71,54,54,100,34,34,75,64
67,19,0,0,39,39,39,39,23,23,12,9,9,10,0,0,17,0,0,66,0,0,11,0
0,39,0,0,1,17,20,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1440,1440,1499,1499,1499,1696,1696,2107,2205,2205,2256,2283,2283,2375,2524,2524,2671,2923,2923,2923,4176,4176,4176,4320
23,23,18,18,18,1,1,99,73,73,85,79,79,100,79,79,100,92,92,92,54,54,54,49
23,71,66,66,27,10,10,100,74,74,85,79,79,99,78,78,82,74,74,54,16,16,5,0
48,0,0,11,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0,0.1,0.983333333,0.983333333,4.266666667,4.266666667,4.266666667,6.533333333,12.75,12.75,12.75,14.05,14.05,14.05,18.06666667,18.06666667,18.06666667,24.71666667,24.71666667,34.33333333,45.6,45.6,46.6,48
0,0,0.983333333,0.983333333,0.983333333,4.266666667,4.266666667,11.11666667,12.75,12.75,13.6,14.05,14.05,15.58333333,18.06666667,18.06666667,20.51666667,24.71666667,24.71666667,24.71666667,45.6,45.6,45.6,48
